Date,Open Index,Closing Index
2023-10-06,12166.31,12186.39
2023-10-05,12158.3,12166.31
2023-10-04,12151.25,12158.3
2023-10-03,12144.26,12151.25
2023-10-02,12136.87,12144.26
2023-09-28,12108.76,12136.87
2023-09-27,12101.7,12108.76
2023-09-26,12095.1,12101.7
2023-09-25,12089.25,12095.1
2023-09-22,12068.66,12089.25
2023-09-21,12060.89,12068.66
2023-09-20,12054.01,12060.89
2023-09-19,12047.14,12054.01
2023-09-18,12040.28,12047.14
2023-09-15,12017.89,12040.28
2023-09-14,12011.62,12017.89
2023-09-13,12005.07,12011.62
2023-09-12,11998.41,12005.07
2023-09-11,11991.75,11998.41
2023-09-07,11975.5,11969.66
2023-09-06,11968.96,11975.5
2023-09-05,11962.17,11968.96
2023-09-04,11954.53,11962.17
2023-09-01,11933.04,11954.53
2023-08-31,11928.66,11933.04
2023-08-30,11916.82,11923.38
2023-08-29,11916.82,11923.38
2023-08-28,11907.07,11916.82
2023-08-25,11886.79,11907.07
2023-08-24,11879.49,11886.79
2023-08-23,11872.21,11879.49
2023-08-22,11864.38,11872.21
2023-08-21,11856.11,11864.38
2023-08-18,11835.31,11856.11
2023-08-17,11829.34,11835.31
2023-08-16,11824.2,11829.34
2023-08-15,11817.76,11824.2
2023-08-11,11789.84,11817.76
2023-08-10,11789.72,11789.84
2023-08-09,11783.25,11789.72
2023-08-08,11776.78,11783.25
2023-08-07,11770.31,11776.78
2023-08-04,11750.9,11770.31
2023-08-03,11744.43,11750.9
2023-08-02,11737.96,11744.43
2023-08-01,11731.49,11737.96
2023-07-31,11725.02,11731.49
2023-07-27,11699.14,11725.02
2023-07-26,11692.67,11699.14
2023-07-25,11686.2,11692.67
2023-07-24,11679.73,11686.2
2023-07-21,11660.32,11679.73
2023-07-20,11653.85,11660.32
2023-07-19,11647.38,11653.85
2023-07-18,11640.91,11647.38
2023-07-17,11634.44,11640.91
2023-07-14,11615.03,11634.44
2023-07-13,11611.31,11615.03
2023-07-12,11604.41,11611.31
2023-07-11,11597.52,11604.41
2023-07-10,11590.59,11597.52
2023-07-07,11569.83,11590.59
2023-07-06,11562.71,11569.83
2023-07-05,11555.82,11562.71
2023-07-04,11548.14,11555.82
2023-07-03,11506.11,11512.83
2023-06-27,11506.11,11512.83
2023-06-26,11506.11,11512.11
2023-06-23,11485.55,11506.11
2023-06-22,11478.68,11485.55
2023-06-21,11470.98,11478.68
2023-06-20,11464.38,11470.98
2023-06-16,11438.13,11457.98
2023-06-15,11438.08,11438.13
2023-06-14,11432.62,11438.08
2023-06-13,11425.43,11432.62
2023-06-12,11419.55,11425.43
2023-06-09,11400.65,11419.55
2023-06-08,11395.32,11400.65
2023-06-07,11389.31,11395.32
2023-06-06,11382.84,11389.31
2023-06-05,11374.92,11382.84
2023-06-02,11352.16,11374.92
2023-06-01,11352.1,11352.16
2023-05-31,11344.97,11352.1
2023-05-30,11339.31,11344.97
2023-05-29,11332.66,11339.31
2023-05-26,11312.97,11332.66
2023-05-25,11306.39,11312.97
2023-05-24,11302.45,11306.39
2023-05-23,11297.44,11302.45
2023-05-22,11291.92,11297.44
2023-05-19,11273.83,11291.92
2023-05-12,11240.2,11260.05
2023-05-11,11232.96,11240.2
2023-05-10,11225.87,11232.96
2023-05-09,11218.42,11225.87
2023-05-08,11212.06,11218.42
2023-05-05,11191.05,11212.06
2023-05-04,11184.96,11191.05
2023-05-03,11178.52,11184.96
2023-05-02,11172.42,11178.52
2023-04-28,11146.31,11172.42
2023-04-27,11140.23,11146.31
2023-04-26,11134.09,11140.23
2023-04-20,11097.54,11134.09
2023-04-19,11091.44,11097.54
2023-04-18,11084.83,11091.44
2023-04-17,11077.79,11084.83
2023-04-13,11050.56,11056.61
2023-04-12,11044.79,11050.56
2023-04-11,11038.56,11044.79
2023-04-10,11032.42,11038.56
2023-04-07,11013.11,11032.42
2023-04-06,11013.03,11013.11
2023-04-05,11003.25,11013.03
2023-04-04,11000.41,11003.25
2023-04-03,10997.69,11000.41
2023-03-30,10973.37,10978.49
2023-03-29,10968.55,10973.37
2023-03-28,10963.85,10968.55
2023-03-27,10963.15,10963.85
2023-03-24,10940.48,10963.15
2023-03-22,10940.48,10963.15
2023-03-21,10935.83,10940.48
2023-03-20,10928.71,10935.83
2023-03-17,10910.98,10928.71
2023-03-16,10905.07,10910.98
2023-03-15,10899.39,10905.07
2023-03-14,10893.61,10899.39
2023-03-13,10886.67,10893.61
2023-03-10,10868.18,10886.67
2023-03-09,10868.05,10868.18
2023-03-08,10863.56,10868.05
2023-03-07,10859.3,10863.56
2023-03-06,10854.92,10859.3
2023-03-03,10843.08,10854.92
2023-03-02,10839.65,10843.08
2023-03-01,10835.85,10839.65
2023-02-27,10827.82,10832.21
2023-02-24,10814.87,10827.82
2023-02-23,10810.48,10814.87
2023-02-22,10804.92,10810.48
2023-02-21,10799.72,10804.92
2023-02-20,10797.05,10799.72
2023-02-17,10782.58,10797.05
2023-02-16,10781.86,10782.58
2023-02-15,10777.64,10781.86
2023-02-14,10773.29,10777.64
2023-02-13,10767.22,10773.29
2023-02-10,10752.39,10767.22
2023-02-09,10747.86,10752.39
2023-02-08,10742.78,10747.86
2023-02-07,10737.71,10742.78
2023-02-06,10732.45,10737.71
2023-02-02,10718.1,10732.45
2023-02-01,10707.97,10713.37
2023-01-31,10703,10707.97
2023-01-30,10698.45,10703
2023-01-27,10683.38,10698.45
2023-01-26,10664.74,10683.38
2023-01-25,10660.54,10664.74
2023-01-24,10655.13,10660.54
2023-01-23,10651.89,10655.13
2023-01-20,10639.93,10651.89
2023-01-19,10636.3,10639.93
2023-01-18,10633.87,10636.3
2023-01-17,10630.4,10633.87
2023-01-16,10626.38,10630.4
2023-01-13,10613.84,10626.38
2023-01-12,10610.19,10613.84
2023-01-11,10605.39,10610.19
2023-01-10,10600.53,10605.39
2023-01-09,10595.56,10600.53
2023-01-06,10582.13,10595.56
2023-01-05,10577.51,10582.13
2023-01-04,10574.34,10577.51
2023-01-03,10571.78,10574.34
2023-01-02,10550.44,10571.78
2022-12-30,10550.44,10571.78
2022-12-29,10542.36,10550.44
2022-12-28,10536.9,10542.36
2022-12-27,10531.9,10536.9
2022-12-26,10527.31,10531.9
2022-12-23,10513.67,10527.31
2022-12-21,10503.88,10509.07
2022-12-20,10499.2,10503.88
2022-12-19,10494.29,10499.2
2022-12-16,10480.37,10494.29
2022-12-15,10475.45,10480.37
2022-12-14,10471.09,10475.45
2022-12-13,10466.66,10471.09
2022-12-12,10462.7,10466.66
2022-12-09,10448.84,10462.7
2022-12-08,10444.29,10448.84
2022-12-07,10439.88,10444.29
2022-12-05,10420.85,10435.13
2022-12-02,10415.1,10420.85
2022-12-01,10409.76,10415.1
2022-11-30,10405.05,10409.76
2022-11-29,10400.1,10405.05
2022-11-28,10404.19,10400.1
2022-11-24,10387.19,10391.37
2022-11-23,10382.74,10387.19
2022-11-22,10378.4,10382.74
2022-11-21,10373.76,10378.4
2022-11-18,10360.94,10373.76
2022-11-17,10357.27,10360.94
2022-11-16,10353.07,10357.27
2022-11-15,10348.88,10353.07
2022-11-14,10344.68,10348.88
2022-11-11,10332.11,10344.68
2022-11-10,10327.8,10332.11
2022-11-08,10318.95,10327.8
2022-11-07,10314.19,10318.95
2022-11-04,10300.95,10314.19
2022-11-03,10296.74,10300.95
2022-11-02,10292.28,10296.74
2022-11-01,10287.97,10292.28
2022-10-31,10283.89,10287.97
2022-10-28,10271.97,10283.89
2022-10-27,10267.55,10271.97
2022-10-26,10263.12,10267.55
2022-10-25,10257.83,10263.12
2022-10-24,10253.08,10257.83
2022-10-21,10240.34,10253.08
2022-10-20,10236.54,10240.34
2022-10-19,10232.3,10236.54
2022-10-18,10228.22,10232.3
2022-10-17,10224,10228.22
2022-10-14,10211.42,10224
2022-10-13,10207.3,10211.42
2022-10-12,10202.98,10207.3
2022-10-11,10198.49,10202.98
2022-10-10,10194.1,10198.49
2022-10-07,10181.49,10194.1
2022-10-06,10178.99,10181.49
2022-10-05,10174.76,10178.99
2022-10-04,10170.76,10174.76
2022-10-03,10167.17,10170.76
2022-10-02,10154.74,10167.17
2022-09-29,10150.36,10154.74
2022-09-28,10145.79,10150.36
2022-09-27,10141.28,10145.79
2022-09-26,10136.46,10141.28
2022-09-23,10122.84,10136.46
2022-09-22,10118.09,10122.84
2022-09-21,10113.96,10118.09
2022-09-20,10109.6,10113.96
2022-09-19,10096.67,10109.6
2022-09-16,10092.21,10096.67
2022-09-15,10087.93,10092.21
2022-09-14,10083.85,10087.93
2022-09-13,10079.96,10083.85
2022-09-12,10067.29,10079.96
2022-09-09,10063.28,10067.29
2022-09-08,10059.52,10063.28
2022-09-07,10055.22,10059.52
2022-09-06,10051.1,10055.22
2022-09-05,10046.91,10051.1
2022-09-04,10042.72,10046.91
2022-09-03,10038.12,10042.72
2022-09-02,10033.52,10038.12
2022-09-01,10029.2,10033.52
2022-08-31,10024.99,10029.2
2022-08-30,10020.73,10024.99
2022-08-29,10016.59,10020.73
2022-08-28,10012.38,10016.59
2022-08-27,10008.18,10012.38
2022-08-26,10003.96,10008.18
2022-08-25,10000,10003.96
2022-08-24,10000,10000